Fund Symbol	Fund Cusip	Fund Name	Category	Subcategory
AADR	00768Y206	WCM/BNY Mellon Focused Growth ADR ETF	Global Equity	GROWTH
AAIT	46429B374	iShares MSCI All Country Asia Information Technology Index Fund	Global Equity	TECHNOLOGY
AAXJ	464288182	iShares MSCI All Country Asia ex Japan Index Fund	Global Equity	ASIAN REGION
ABCS	18383Q788	Guggenheim ABC High Dividend ETF	Global Equity	INCOME
ACCU	00768Y784	Accuvest Global Opportunities ETF	Global Equity	GROWTH & INCOME
ACIM	78463X475	SPDR MSCI ACWI Investable Market Index ETF	Global Equity	GLOBAL
ACWI	464288257	iShares MSCI ACWI Index Fund	Global Equity	GLOBAL
ACWV	464286525	iShares MSCI All Country World Minimum Volatility Index Fund	Global Equity	GLOBAL
ACWX	464288240	iShares MSCI ACWI ex US Index Fund	Global Equity	INTERNATIONAL
ADRA	09348R102	BLDRS Asia 50 ADR Index Fund	Global Equity	LARGE-CAP
ADRD	09348R201	BLDRS Developed Markets 100 ADR Index Fund	Global Equity	INTERNATIONAL
ADRE	09348R300	BLDRS Emerging Markets 50 ADR Index Fund	Global Equity	EMERGING MARKETS
ADRU	09348R409	BLDRS Europe 100 ADR Index Fund	Global Equity	EUROPEAN REGION
ADZ	25154H541	PowerShares DB Agriculture Short ETN	Commodity	AGRICULTURE
AFK	57060U787	Market Vectors Africa Index ETF	Global Equity	EMERGING MARKETS
AGA	25154H566	PowerShares DB Agriculture Double Short ETN	Commodity	AGRICULTURE
AGEM	268461100	EGShares GEMS Composite ETF	Global Equity	EMERGING MARKETS
AGF	25154H533	PowerShares DB Agriculture Long ETN	Commodity	AGRICULTURE
AGG	464287226	iShares Core US Bond Market ETF	Fixed Income	FIXED INCOME
AGLS	00768Y404	Accuvest Global Long Short ETF	Global Equity	EQUITY SPECIALTY
AGOL	26923C102	ETFS Asian Gold Trust	Commodity	PRECIOUS METALS
AGQ	74347W841	ProShares Ultra Silver	Commodity	PRECIOUS METALS
AGZ	464288166	iShares Barclays Agency Fund	Fixed Income	FIXED INCOME
AIA	464288430	iShares S&P Asia 50 Index Fund	Global Equity	LARGE-CAP
ALD	97717X842	WisdomTree Asia Local Debt Fund	Fixed Income	FIXED INCOME
ALFA	26922A305	AlphaClone Alternative Alpha ETF	Equity	EQUITY SPECIALTY
ALT	464294107	iShares Diversified Alternatives Trust	Equity	EQUITY SPECIALTY
ALTL	78009P168	RBS US Large Cap Alternator Exchange Traded Note	Equity	EQUITY SPECIALTY
AMJ	46625H365	JPMorgan Alerian MLP Index ETN	Equity	NATURAL RESOURCES
AMLP	00162Q866	Alerian MLP ETF	Equity	INDUSTRIALS
AMPS	46429B184	iShares Utilities Sector Bond Fund	Fixed Income	UTILITY
AMU	90267B682	ETRACS Alerian MLP Index ETN	Equity	NATURAL RESOURCES
AND	37950E655	Global X FTSE Andean 40 ETF	Global Equity	EMERGING MARKETS
ANGL	57061R304	Market Vectors Fallen Angel High Yield Bond ETF	Fixed Income	FIXED INCOME
AOA	464289859	iShares S&P Aggressive Allocation Fund	Equity	GROWTH
AOK	464289883	iShares S&P Conservative Allocation Fund	Equity	GROWTH & INCOME
AOM	464289875	iShares S&P Moderate Allocation Fund	Equity	GROWTH & INCOME
AOR	464289867	iShares S&P Growth Allocation Fund	Equity	GROWTH & INCOME
ARGT	37950E697	Global X FTSE Argentina 20 ETF	Global Equity	LARGE-CAP
ASEA	37950E648	Global X FTSE ASEAN 40 ETF	Global Equity	EMERGING MARKETS
AUD	72201R742	PIMCO Australia Bond Index Exchange-Traded Fund	Fixed Income	ASIAN REGION
AUNZ	97717W216	WisdomTree Australia & New Zealand Debt Fund	Fixed Income	ASIAN REGION
AUSE	97717W810	WisdomTree Australia Dividend Fund	Global Equity	INCOME
AXDI	464289636	iShares MSCI ACWI ex US Consumer Discretionary Sector Index Fund	Global Equity	CONSUMER
AXEN	464289594	iShares MSCI ACWI ex US Energy Sector Index Fund	Global Equity	GLOBAL
AXFN	464289164	iShares MSCI ACWI ex US Financials Index Fund	Global Equity	FINANCIAL SERVICES
AXHE	464289552	iShares MSCI ACWI ex US Health Care Sector Index Fund	Global Equity	HEALTH/BIOTECHNOLOGY
AXID	464289610	iShares MSCI ACWI ex US Industrials Sector Index Fund	Global Equity	INDUSTRIALS
AXIT	464289586	iShares MSCI ACWI ex US Information Technology Sector Index Fund	Global Equity	TECHNOLOGY
AXJL	97717W828	WisdomTree Asia Pacific ex-Japan Fund	Global Equity	INCOME
AXJS	46429B622	iShares MSCI All Country Asia ex Japan Small Cap Index Fund	Global Equity	SMALL-CAP
AXMT	464289578	iShares MSCI ACWI ex US Materials Sector Index Fund	Global Equity	BASIC MATERIALS
AXSL	464289628	iShares MSCI ACWI ex US Consumer Staples Sector Index Fund	Global Equity	CONSUMER
AXTE	464289560	iShares MSCI ACWI ex US Telecommunication Services Sector Index Fund	Global Equity	TELECOMMUNICATION
AXUT	464289545	iShares MSCI ACWI ex US Utilities Sector Index Fund	Global Equity	UTILITY
AYT	06738G878	iPath GEMS Asia 8 ETN	Currency	EMERGING MARKETS
BAB	73937B407	PowerShares Build America Bond Portfolio	Fixed Income	FIXED INCOME
BABS	78464A276	SPDR Nuveen Barclays Build American Bond ETF	Fixed Income	FIXED INCOME
BABZ	72201R825	PIMCO Build America Bond Exchange-Traded Fund	Fixed Income	FIXED INCOME
BAL	06739H271	iPath Dow Jones-UBS Cotton Subindex Total Return ETN	Commodity	AGRICULTURE
