3M	NYSE	MMM
Alcoa	NYSE	AA
American Express	NYSE	AXP
AT&T	NYSE	T
Bank of America	NYSE	BAC
Boeing	NYSE+NASDAQ	BA
Caterpillar	NYSE	CAT
Chevron Corporation	NYSE	CVX
Cisco Systems	NASDAQ	CSCO
Coca-Cola	NYSE	KO
DuPont	NYSE	DD
ExxonMobil	NYSE	XOM
General Electric	NYSE	GE
Hewlett-Packard	NYSE	HPQ
The Home Depot	NYSE	HD
Intel	NASDAQ	INTC
IBM	NYSE	IBM
Johnson & Johnson	NYSE	JNJ
JPMorgan Chase	NYSE	JPM
Kraft Foods	NYSE	KFT
McDonald's	NYSE	MCD
Merck	NYSE	MRK
Microsoft	NASDAQ	MSFT
Pfizer	NYSE	PFE
Procter & Gamble	NYSE	PG
Travelers	NYSE	TRV
United Technologies Corporation	NYSE	UTX
Verizon Communications	NYSE+NASDAQ	VZ
Wal-Mart	NYSE	WMT
Walt Disney	NYSE	DIS
