Constituent Symbol	Constituent Name
VOD	Vodafone Group
AAL.L	Anglo American Plc
BP	BP
CCL	Carnival Corp
NGG	National Grid
PRU	Prudential Financial
RIO	Rio Tinto
STAN.L	Standard Chartered
ABF.L	Associated British Foods
ADM.L	Admiral Group
ADN.L	Aberdeen Asset Management
AGK.L	Aggreko
AMEC.L	AMEC
ANTO.L	Antofagasta
ARM.L	Arm Holdings
AV.L	AVIVA
AZN.L	Astrazeneca
BA.L	BAE Systems
BAB.L	Babcock International
BARC.L	Barclays
BATS.L	British American Tobacco
BG.L	BG Group
BHP	BHP Billiton
BLND.L	British Land Co
BNZL.L	Bunzl
BRBY.L	Burberry Group
BSY.L	British Sky Broadcasting Group
BT	BT Group
CNA.L	Centrica
CPG.L	Compass Group
CPI.L	Capita
CRDA.L	Croda International
CRH.L	CRH
DGE.L	Diageo
EVR.L	Evraz
EXPN.L	Experian
FRES.L	Fresnillo
GFS.L	G4S
GKN.L	GKN
GLEN.L	Glencore Xstrata
GSK.L	Glaxosmithkline
HL.L	Hargreaves Lansdown
HMSO.L	Hammerson
HSBA.L	HSBC Holdings
IAG.L	Intl Consolidated Airlines
IHG.L	Intercontinental Hotels Group
IMI.L	IMI
IMT.L	Imperial Tobacco Group
INTU.L	Intu Properties
ITRK.L	Intertek Group
ITV.L	ITV
JMAT.L	Johnson Matthey
KAZ.L	Kazakhmys
KGF.L	Kingfisher
LAND.L	Land Securities Group
LGEN.L	Legal & General Group
LLOY.L	Lloyds Banking Group
MGGT.L	Meggitt
MKS.L	Marks & Spencer Group
MRO.L	Melrose Plc
MRW.L	Morrison Supermarkets
NXT.L	Next
OML.L	Old Mutual
PFC.L	Petrofac Ltd
POLY.L	Polymetal Intl
PSON.L	Pearson
RB.L	Reckitt Benckiser Group
RBS.L	Royal Bank Of Scotland
RDSA.L	Royal Dutch Shell
REL.L	Reed Elsevier
REX.L	Rexam
RR.L	Rolls Royce
RRS.L	Randgold Resources Ltd
RSA.L	RSA Insurance Group
RSL.L	Resolution Ltd
SAB.L	SABMiller
SBRY.L	Sainsbury
SDR.L	Schroders
SGE.L	Sage Group
SHP.L	Shire
SL.L	Standard Life
SMIN.L	Smiths Group
SN.L	Smith & Nephew
SRP.L	Serco Group
SSE.L	SSE
SVT.L	Severn Trent
TATE.L	Tate & Lyle
TLW.L	Tullow Oil
TSCO.L	Tesco
TT.L	Tui Travel
ULVR.L	Unilever
UU.L	United Utilities Group
VED.L	Vedanta Resources
WEIR.L	Weir Group
WG.L	Wood Group
WOS.L	Wolseley
WPP.L	WPP
WTB.L	Whitbread
