Constituent Symbol	Constituent Name
AAPL	APPLE INC.
ABNB	AIRBNB
ADBE	ADOBE INC.
ADI	ANALOG DEVICES
ADP	AUTOMATIC DATA PROCESSING
ADSK	AUTODESK
AEP	AMERICAN ELECTRIC POWER
ALAB	ASTERA LABS
ALNY	ALNYLAM PHARMACEUTICALS
AMAT	APPLIED MATERIALS
AMD	ADVANCED MICRO DEVICES
AMGN	AMGEN
AMZN	AMAZON
APP	APPLOVIN
ARM	ARM HOLDINGS
ASML	ASML HOLDING
AVGO	BROADCOM
AXON	AXON ENTERPRISE
BKNG	BOOKING HOLDINGS
BKR	BAKER HUGHES
CCEP	COCA-COLA EUROPACIFIC PARTNERS
CDNS	CADENCE DESIGN SYSTEMS
CEG	CONSTELLATION ENERGY
CMCSA	COMCAST
COST	COSTCO
CPRT	COPART
CRWD	CROWDSTRIKE
CRWV	COREWEAVE
CSCO	CISCO
CSX	CSX CORPORATION
CTAS	CINTAS
DASH	DOORDASH
DDOG	DATADOG
DXCM	DEXCOM
EA	ELECTRONIC ARTS
EXC	EXELON
FANG	DIAMONDBACK ENERGY
FAST	FASTENAL
FER	FERROVIAL
FTNT	FORTINET
GEHC	GE HEALTHCARE
GILD	GILEAD SCIENCES
GOOG	ALPHABET INC. (CLASS C)
GOOGL	ALPHABET INC. (CLASS A)
HON	HONEYWELL TECHNOLOGIES
HONA	HONEYWELL AEROSPACE
IDXX	IDEXX LABORATORIES
INTC	INTEL
INTU	INTUIT
ISRG	INTUITIVE SURGICAL
KDP	KEURIG DR PEPPER
KHC	KRAFT HEINZ
KLAC	KLA CORPORATION
LIN	LINDE PLC
LITE	LUMENTUM
LRCX	LAM RESEARCH
MAR	MARRIOTT INTERNATIONAL
MCHP	MICROCHIP TECHNOLOGY
MDLZ	MONDELEZ INTERNATIONAL
MELI	MERCADO LIBRE
META	META PLATFORMS
MNST	MONSTER BEVERAGE
MPWR	MONOLITHIC POWER SYSTEMS
MRVL	MARVELL TECHNOLOGY
MSFT	MICROSOFT
MSTR	MICROSTRATEGY
MU	MICRON TECHNOLOGY
NBIS	NEBIUS GROUP
NFLX	NETFLIX, INC.
NVDA	NVIDIA
NXPI	NXP SEMICONDUCTORS
ODFL	OLD DOMINION FREIGHT LINE
ORLY	O'REILLY AUTOMOTIVE
PANW	PALO ALTO NETWORKS
PAYX	PAYCHEX
PCAR	PACCAR
PDD	PDD HOLDINGS
PEP	PEPSICO
PLTR	PALANTIR TECHNOLOGIES
PYPL	PAYPAL
QCOM	QUALCOMM
REGN	REGENERON PHARMACEUTICALS
RKLB	ROCKET LAB
ROP	ROPER TECHNOLOGIES
ROST	ROSS STORES
SBUX	STARBUCKS
SHOP	SHOPIFY
SNDK	SANDISK
SNPS	SYNOPSYS
SPCX	SPACEX
STX	SEAGATE TECHNOLOGY
TER	TERADYNE
TMUS	T-MOBILE US
TRI	THOMSON REUTERS
TSLA	TESLA, INC.
TTWO	TAKE-TWO INTERACTIVE
TXN	TEXAS INSTRUMENTS
VRTX	VERTEX PHARMACEUTICALS
WBD	WARNER BROS. DISCOVERY
WDAY	WORKDAY, INC.
WDC	WESTERN DIGITAL
WMT	WALMART
XEL	XCEL ENERGY
