"New Stock List as of 1/17/2014",,,
TICKER,NAME,EXCHANGE,COUNTRY,INDUS
A,Agilent Technologies,NYSE Euronext,United States,Industrials
AA,Alcoa Inc,NYSE Euronext,United States,Materials
AAL.L,Anglo American Plc,London Stock Exchange,United Kingdom,Materials
AAP,Advance Auto Parts Inc,NYSE Euronext,United States,Services
AAPL,Apple Inc,NASDAQ Global Select,United States,Technology
AAT,"AMERICAN ASSETS TRUST, INC.",NYQ,United States,Financials
ABBV,AbbVie,NYSE Euronext,United States,Health Care
ABF.L,Associated British Foods,London Stock Exchange,United Kingdom,Goods
ABG,"ASBURY AUTOMOTIVE GROUP, INC.",NYQ,United States,ConsumerDiscr
ABI.BR,ANHEUSER-BUSCH INBEV SA/NV,BRU,Belgium,ConsumerStpl
ABM,ABM INDUSTRIES INCORPORATED,NYQ,United States,Industrials
ABNB,"Airbnb, Inc.",NMS,United States,Goods
ABR,"ARBOR REALTY TRUST, INC.",NYQ,United States,Financials
ABT,Abbott Laboratories,NYSE Euronext,United States,Health Care
ABX,"ABACUS GLOBAL MANAGEMENT, INC.",NYQ,United States,Financials
ACGL,Arch Cap Group Ltd,NASDAQ Global Select,United Kingdom,Financials
ACH,"ACCENDRA HEALTH, INC.",NYQ,United States,Healthcare
ACI,"ALBERTSONS COMPANIES, INC.",NYQ,United States,ConsumerStpl
ACM,Aecom Technology Corp D,NYSE Euronext,United States,Industrials
ACN,Accenture Plc Ireland,NYSE Euronext,United States,Industrials
ACTV,LEADERSHARES ACTIVIST LEADERS ETF,PCX,US,Technology
AD.AS,KONINKLIJKE AHOLD DELHAIZE N.V.,AMS,Netherlands,ConsumerStpl
ADBE,Adobe Systems Inc,NASDAQ Global Select,United States,Technology
ADC,AGREE REALTY CORPORATION,NYQ,United States,Financials
ADI,Analog Devices Inc,NASDAQ Global Select,United States,Technology
ADM,Archer Daniels Midland,NYSE Euronext,United States,Goods
ADM.L,Admiral Group,London Stock Exchange,United Kingdom,Financials
ADP,Automatic Data Process,NASDAQ Global Select,United States,Technology
ADSK,Autodesk Inc,NASDAQ Global Select,United States,Technology
AEC,ANFIELD ENERGY INC.,NCM,Canada,Energy
AEE,Ameren Corp,NYSE Euronext,United States,Utilities
AEG,AEGON LTD.,NYQ,Netherlands,Financials
AEM,AGNICO EAGLE MINES LIMITED,NYQ,Canada,BasicMaterials
AEO,American Eagle Outfitte,NYSE Euronext,United States,Services
AEP,American Electric Power,NYSE Euronext,United States,Utilities
AER,AERCAP HOLDINGS N.V.,NYQ,Ireland,Industrials
AES,AES Corp,NYSE Euronext,United States,Utilities
AFG,American Financial Grou,NASDAQ Global Select,United States,Financials
AFL,Aflac Inc,NYSE Euronext,United States,Financials
AG,FIRST MAJESTIC SILVER CORP.,NYQ,Canada,BasicMaterials
AGCO,Agco Corp,NYSE Euronext,United States,Industrials
AGM,FEDERAL AGRICULTURAL MORTGAGE CORPORATION,NYQ,United States,Financials
AGO,Assured Guaranty Ltd,NYSE Euronext,United States,Financials
AGRO,ADECOAGRO S.A.,NYQ,Luxembourg,ConsumerStpl
AHT,"ASHFORD HOSPITALITY TRUST, INC.",NYQ,United States,Financials
AI,"C3.AI, INC.",NYQ,United States,Technology
AI.PA,L'AIR LIQUIDE S.A.,PAR,France,BasicMaterials
AIG,American Intl Group,NYSE Euronext,United States,Financials
AIN,ALBANY INTERNATIONAL CORP.,NYQ,United States,ConsumerDiscr
AIQ,GLOBAL X ARTIFICIAL INTELLIGENCE & TECHNOLOGY ETF,NGM,US,Technology
AIR,AAR CORP.,NYQ,United States,Industrials
AIR.PA,AIRBUS SE,PAR,Netherlands,Industrials
AIT,"APPLIED INDUSTRIAL TECHNOLOGIES, INC.",NYQ,United States,Industrials
AIV,Apartment Invt & Mgmt,NYSE Euronext,United States,Financials
AIZ,Assurant Inc,NYSE Euronext,United States,Financials
AJG,Gallagher Arthur J & Co,NYSE Euronext,United States,Financials
AKO-A,EMBOTELLADORA ANDINA S.A.,NYQ,Chile,ConsumerStpl
AKO-B,EMBOTELLADORA ANDINA S.A.,NYQ,Chile,ConsumerStpl
AKR,ACADIA REALTY TRUST,NYQ,United States,Financials
ALAB,"ASTERA LABS, INC.",NMS,United States,Technology
