Name,Symbol,Industry,SubIndustry,SandP,Dow,Country,Region
Agilent Technologies Inc.,A,Industrials,Electronic Equipment,YES,NO,United States,United States
Alcoa Inc.,AA,Basic Materials,Aluminum,YES,YES,United States,United States
Aaron's Inc.,AAN,Consumer Services,Specialized Consumer Services,NO,NO,United States,United States
Advance Auto Parts Inc.,AAP,Consumer Services,Specialty Retailers,NO,NO,United States,United States
American Assets Trust Inc.,AAT,Financials,undefined,NO,NO,United States,United States
Advantage Oil & Gas Ltd.,AAV,Oil and Gas,Exploration and Production,NO,NO,Canada,Canada
ABB Ltd.,ABB,Industrials,Industrial Machinery,NO,NO,Switzerland,Europe
AmerisourceBergen Corp.,ABC,Consumer Services,Drug Retailers,YES,NO,United States,United States
ACCO Brands Corp.,ABD,Consumer Goods,Durable Household Products,NO,NO,United States,United States
Asbury Automotive Group Inc.,ABG,Consumer Services,Specialty Retailers,NO,NO,United States,United States
AbitibiBowater Inc.,ABH,Basic Materials,undefined,NO,NO,Canada,Canada
ABM Industries Inc.,ABM,Industrials,Business Support Services,NO,NO,United States,United States
Arbor Realty Trust Inc.,ABR,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States
Abbott Laboratories,ABT,Health Care,Pharmaceuticals,YES,NO,United States,United States
Companhia de Bebidas das Americas,ABV-C,Consumer Goods,undefined,NO,NO,Brazil,Latin America
AboveNet Inc.,ABVT,Telecommunications,Fixed Line Telecommunications,NO,NO,United States,United States
Barrick Gold Corp.,ABX,Basic Materials,Gold Mining,NO,NO,Canada,Canada
American Campus Communities Inc.,ACC,Financials,Residential Real Estate Investment Trusts,NO,NO,United States,United States
ACE Ltd.,ACE,Financials,Property and Casualty Insurance,NO,NO,United States,United States
Aluminum Corp. of China Ltd.,ACH,Basic Materials,Aluminum,NO,NO,China,Asia-Pacific
Arch Coal Inc.,ACI,Basic Materials,Coal,NO,NO,United States,United States
AECOM Technology Corp.,ACM,Industrials,Business Support Services,NO,NO,United States,United States
Accenture PLC Cl A,ACN,Industrials,Business Support Services,NO,NO,United States,United States
AMCOL International Corp.,ACO,Basic Materials,General Mining,NO,NO,United States,United States
Active Network Inc.,ACTV,Technology,undefined,NO,NO,United States,United States
Accuride Corp.,ACW,Industrials,undefined,NO,NO,United States,United States
Agree Realty Corp.,ADC,Financials,Retail Real Estate Investment Trusts,NO,NO,United States,United States
Analog Devices Inc.,ADI,Technology,Semiconductors,YES,NO,United States,United States
Archer Daniels Midland Co.,ADM,Consumer Goods,Food Products,YES,NO,United States,United States
Alliance Data Systems Corp.,ADS,Industrials,Financial Administration,NO,NO,United States,United States
American Dairy Inc.,ADY,Consumer Goods,Food Products,NO,NO,United States,United States
Advance America Cash Advance Centers Inc.,AEA,Financials,Consumer Finance,NO,NO,United States,United States
Associated Estates Realty Corp.,AEC,Financials,Residential Real Estate Investment Trusts,NO,NO,United States,United States
Ameren Corp.,AEE,Utilities,Multiutilities,YES,NO,United States,United States
Aegon N.V.,AEG,Financials,Life Insurance,NO,NO,Netherlands,Europe
