Name,Symbol,Industry,SubIndustry,SandP,Dow,Country,Region,
Agilent Technologies Inc.,A,Industrials,Electronic Equipment,YES,NO,United States,United States,A
Alcoa Inc.,AA,Basic Materials,Aluminum,YES,YES,United States,United States,AA
Aaron's Inc.,AAN,Consumer Services,Specialized Consumer Services,NO,NO,United States,United States,AAN
Advance Auto Parts Inc.,AAP,Consumer Services,Specialty Retailers,NO,NO,United States,United States,AAP
American Assets Trust Inc.,AAT,Financials,undefined,NO,NO,United States,United States,4
Advantage Oil & Gas Ltd.,AAV,Oil and Gas,Exploration and Production,NO,NO,Canada,Canada,AAV
ABB Ltd.,ABB,Industrials,Industrial Machinery,NO,NO,Switzerland,Europe,ABB
AmerisourceBergen Corp.,ABC,Consumer Services,Drug Retailers,YES,NO,United States,United States,ABC
ACCO Brands Corp.,ABD,Consumer Goods,Durable Household Products,NO,NO,United States,United States,ABD
Asbury Automotive Group Inc.,ABG,Consumer Services,Specialty Retailers,NO,NO,United States,United States,ABG
AbitibiBowater Inc.,ABH,Basic Materials,undefined,NO,NO,Canada,Canada,10
ABM Industries Inc.,ABM,Industrials,Business Support Services,NO,NO,United States,United States,ABM
Arbor Realty Trust Inc.,ABR,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States,ABR
Abbott Laboratories,ABT,Health Care,Pharmaceuticals,YES,NO,United States,United States,ABT
Companhia de Bebidas das Americas,ABV-C,Consumer Goods,undefined,NO,NO,Brazil,Latin America,14
AboveNet Inc.,ABVT,Telecommunications,Fixed Line Telecommunications,NO,NO,United States,United States,ABVT
Barrick Gold Corp.,ABX,Basic Materials,Gold Mining,NO,NO,Canada,Canada,ABX
American Campus Communities Inc.,ACC,Financials,Residential Real Estate Investment Trusts,NO,NO,United States,United States,ACC
ACE Ltd.,ACE,Financials,Property and Casualty Insurance,NO,NO,United States,United States,ACE
Aluminum Corp. of China Ltd.,ACH,Basic Materials,Aluminum,NO,NO,China,Asia-Pacific,ACH
Arch Coal Inc.,ACI,Basic Materials,Coal,NO,NO,United States,United States,ACI
AECOM Technology Corp.,ACM,Industrials,Business Support Services,NO,NO,United States,United States,ACM
Accenture PLC Cl A,ACN,Industrials,Business Support Services,NO,NO,United States,United States,ACN
AMCOL International Corp.,ACO,Basic Materials,General Mining,NO,NO,United States,United States,ACO
Active Network Inc.,ACTV,Technology,undefined,NO,NO,United States,United States,24
Accuride Corp.,ACW,Industrials,undefined,NO,NO,United States,United States,25
Agree Realty Corp.,ADC,Financials,Retail Real Estate Investment Trusts,NO,NO,United States,United States,ADC
Analog Devices Inc.,ADI,Technology,Semiconductors,YES,NO,United States,United States,ADI
Archer Daniels Midland Co.,ADM,Consumer Goods,Food Products,YES,NO,United States,United States,ADM
Alliance Data Systems Corp.,ADS,Industrials,Financial Administration,NO,NO,United States,United States,ADS
American Dairy Inc.,ADY,Consumer Goods,Food Products,NO,NO,United States,United States,ADY
Advance America Cash Advance Centers Inc.,AEA,Financials,Consumer Finance,NO,NO,United States,United States,AEA
Associated Estates Realty Corp.,AEC,Financials,Residential Real Estate Investment Trusts,NO,NO,United States,United States,AEC
Ameren Corp.,AEE,Utilities,Multiutilities,YES,NO,United States,United States,AEE
Aegon N.V.,AEG,Financials,Life Insurance,NO,NO,Netherlands,Europe,AEG
American Equity Investment Life Holding Co.,AEL,Financials,Life Insurance,NO,NO,United States,United States,AEL
Agnico-Eagle Mines Ltd.,AEM,Basic Materials,Gold Mining,NO,NO,Canada,Canada,AEM
American Eagle Outfitters Inc.,AEO,Consumer Services,Apparel Retailers,NO,NO,United States,United States,AEO
American Electric Power Co. Inc.,AEP,Utilities,Conventional Electricity,YES,NO,United States,United States,AEP
AerCap Holdings N.V.,AER,Industrials,Transportation Services,NO,NO,Netherlands,Europe,AER
AES Corp.,AES,Utilities,Conventional Electricity,YES,NO,United States,United States,AES
Aetna Inc.,AET,Health Care,Health Care Providers,YES,NO,United States,United States,AET
Astoria Financial Corp.,AF,Financials,Banks,NO,NO,United States,United States,AF
American Financial Group Inc.,AFG,Financials,Property and Casualty Insurance,NO,NO,United States,United States,AFG
AFLAC Inc.,AFL,Financials,Life Insurance,YES,NO,United States,United States,AFL
First Majestic Silver Corp.,AG,Basic Materials,Silver,NO,NO,Canada,Canada,45
AGCO Corp.,AGCO,Industrials,Commerical Vehicles and Trucks,NO,NO,United States,United States,AGCO
Federal Agricultural Mortgage Corp. Cl C,AGM,Financials,Mortgage Finance,NO,NO,United States,United States,AGM
Allergan Inc.,AGN,Health Care,Pharmaceuticals,YES,NO,United States,United States,AGN
Assured Guaranty Ltd.,AGO,Financials,Property and Casualty Insurance,NO,NO,United States,United States,AGO
AMERIGROUP Corp.,AGP,Health Care,Health Care Providers,NO,NO,United States,United States,AGP
Adecoagro S.A.,AGRO,Consumer Goods,undefined,NO,NO,United States,United States,51
Agrium Inc.,AGU,Basic Materials,Specialty Chemicals,NO,NO,Canada,Canada,AGU
Accretive Health Inc.,AH,Health Care,undefined,NO,NO,United States,United States,53
A. H. Belo Corp. Series A,AHC,Consumer Services,Publishing,NO,NO,United States,United States,AHC
Aspen Insurance Holdings Ltd.,AHL,Financials,Reinsurance,NO,NO,United States,United States,AHL
AMN Healthcare Services Inc.,AHS,Industrials,Business Training and Employment Agencies,NO,NO,United States,United States,AHS
Ashford Hospitality Trust Inc.,AHT,Financials,Hotel and Lodging Real Estate Investment Trusts,NO,NO,United States,United States,AHT
Arlington Asset Investment Corp. Cl A,AI,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States,AI
American International Group Inc.,AIG,Financials,Full Line Insurance,YES,NO,United States,United States,AIG
Albany International Corp. Cl A,AIN,Industrials,Industrial Machinery,NO,NO,United States,United States,AIN
Alliance HealthCare Services Inc.,AIQ,Health Care,Health Care Providers,NO,NO,United States,United States,AIQ
AAR Corp.,AIR,Industrials,Aerospace,NO,NO,United States,United States,AIR
Applied Industrial Technologies Inc.,AIT,Industrials,Industrial Suppliers,NO,NO,United States,United States,AIT
Apartment Investment & Management Co.,AIV,Financials,Residential Real Estate Investment Trusts,YES,NO,United States,United States,AIV
Assurant Inc.,AIZ,Financials,Life Insurance,YES,NO,United States,United States,AIZ
Arthur J. Gallagher & Co.,AJG,Financials,Property and Casualty Insurance,NO,NO,United States,United States,AJG
